section_code,section,contents,clause_title,clause_reference
L,L11,Carpentry,Eaves And Verge Boarding,(a) Boarding over 300 mm wide to eaves and the like (grouped together) given in sq.m. Boarding not exceeding 300 mm wide given in linear metres stating width. (b) Bearers for boarding given in linear metres stating size.
L,L12,Carpentry,Labours On Boarding,"(a) Raking cutting, curved cutting and scribed edges on boarding and perimeter cutting on diagonally laid boarding each given separately in linear metres. (b) Splayed edges deemed included. (c) Rebates, grooves, chamfers, mitred angles and the like labours each given separately in linear metres. Ends, angles and stops deemed included."
L,L13,Carpentry,Fascia And Barge Boardings,Fascia-boards and barge-boards each given separately in linear metres stating width.
L,L14,Carpentry,"Fillets, Grounds And Battens Generally","(a) Fillets, grounds, battens and the like shall be given in linear metres stating the size. (b) Angle fillets, tilting fillets, corner fillets and rolls shall be given in linear metres stating the extreme size. (c) Angles, ends, intersections, mitres and the like shall be deemed to be included. (d) Clips for floor fillets shall be enumerated stating the method of fixing to concrete."
L,L15,Carpentry,Skeleton Framework,"(a) Skeleton framework over 300 mm wide (measured overall) shall be given in sq.m. Framework not exceeding 300 mm wide shall be given in linear metres stating overall width. The size and spacing of members shall be given in description. (b) Skeleton framework framed on rake and spandril-shaped framework shall each be described. Skeleton framework of irregular shapes shall be enumerated with size, shape and member size. (c) Alternatively, the individual members may be measured in linear metres."
L,L16,Carpentry,Bracketing,"Bracketing to form shaped false ceilings shall be given in detail. Bracketing and cradling (measured extreme girth) around steelwork and to form false beams each given separately in sq.m stating size of members. Alternatively, individual members may be measured in linear metres. Bracketing for cornices given in linear metres stating extreme girth. Angle brackets shall be enumerated."
L,L17,Carpentry,Plugging,"Plugging to concrete, brickwork, blockwork and stonework (grouped together and irrespective of finish) shall be given in sq.m, in linear metres, or enumerated as appropriate, or plugging may be given in the description of the work concerned and cradling."
M,M1,Joinery,Joinery Generally,"(a) Particulars for the following shall be given: i. Kind and quality of timber; ii. Preliminary treatment of timber (e.g. kiln drying, impregnation). (b) Timber shall be deemed to be wrought on all faces and edges, giving finished sizes. (c) Timber shall be deemed to be fixed with nails or steel screws. Particulars of any other fixing shall be given in the description of the item. (d) Timber over 300 mm wide in one width shall be so described stating the width; where not in one width the method of joining shall be stated. (e) Curved or circular work shall be so described stating the radius. Work curved to more than one radius shall be so described stating the radii. Curved labours shall be so described. (f) Rebates, grooves, chamfers, rounded edges, moulds not exceeding 50 mm girth etc. termed labours. For linear members they are included in the description. For square metre work they shall be given separately in linear metres. Ends, angles, mitres and stops included. Mason’s mitres and splayed/shaped/moulded stops enumerated separately. (g) Where the girth of the mould >50 mm it shall be stated in stages of 25 mm, except fully moulded members described irrespective of girth. (h) Ends, angles and mitres deemed included. (i) Sizes of panels grouped/described: i. Small ≤0.10 sq.m; ii. Medium >0.10 ≤0.50 sq.m; iii. Large >0.50 ≤1 sq.m; iv. Extra large >1 sq.m."
M,M2,Joinery,Flooring Generally,(a) Flooring shall be measured as executed. No allowance for tongues in tongued/grooved work. No deduction for voids ≤0.50 sq.m. Particulars: i. Nominal thickness; ii. Method of jointing; iii. Surface treatment after laying. (b) Flooring laid to a pattern shall be described.
M,M3,Joinery,Board Flooring And Strip Flooring,Board and strip flooring given in sq.m stating the nominal width of the boards or strips.
M,M4,Joinery,Cutting On Flooring,"(a) Raking cutting, curved cutting and scribed edges on flooring and perimeter cutting on pattern-laid flooring each given separately in linear metres. (b) Cutting and fitting flooring around obstructions (e.g. detached columns, shaped ends of steps), notches, rounded corners, sinkings etc. deemed included."
M,M5,Joinery,Nosing And Margins,"Nosings, bed-moulds and margins each given separately in linear metres as extra over flooring, stating the size. Tongued, rounded and moulded edges, and grooves in flooring given in description."
M,M6,Joinery,Access Trap Doors (Floors),"Access trapdoors in floors enumerated as extra over flooring, stating size. Bearers given in description."
M,M7,Joinery,"Linings, Casings And Partitions Generally","(a) Boarded work measured as executed. No allowance for tongues, no deduction for voids ≤0.50 sq.m. Particulars: i. Nominal thickness; ii. Type; iii. Method of jointing; iv. Width of boards where required. (b) Panelled work measured as executed. No deduction for open panels. Particulars: i. Nominal thickness of framing; ii. Nominal thickness of panels and their shapes. Panels ≤0.10 sq.m described. (c) Panelled work with mouldings or bolection mouldings described, stating method (solid or planted) and whether on one/both sides. Enriched and undercut mouldings described. (d) Panelled work with fielded/raised/raised & fielded panels each described. (e) Panelled work with stiles, top rails or muntins >100 mm wide, or intermediate/bottom rails >300 mm wide, each described. (f) Panelled work with curved heads described, stating curve type (semicircular, segmental, elliptical)."
M,M8,Joinery,Wall And Ceiling Linings,(a) Linings >300 mm wide given in sq.m. Those ≤300 mm wide (except caused by voids) given in linear metres stating width. Linings caused by voids included in work given in sq.m. (b) Linings to ceilings >3.50 m high described stating height in 1.50 m stages. (c) Panelled linings framed on rake/spandril-shaped described. Irregular shapes enumerated stating size and shape.
M,M9,Joinery,Beams And Column Casings,"(a) Casings (measured on external face) around beams, lintols, cantilevers, pilasters, columns etc. given separately in sq.m except entasis casings given in linear metres stating maximum/minimum girth and number. (b) Casings around beams >3.50 m above floor described stating height in 1.50 m stages. (c) Panelled casings framed on rake described."
M,M10,Joinery,Cuttings On Linings And Casings,"(a) Cuttings on boards of conical, spherical or groined boarding deemed included. (b) Splayed edges deemed included. (c) Rounded corners and the like enumerated separately stating girth."
M,M11,Joinery,Applied Mouldings,"Applied mouldings (other than panel moulds), cappings, inlays and the like given separately in linear metres stating size. Enriched and undercut mouldings so described."
M,M12,Joinery,Caps And Bases To Columns,"Caps and bases to columns and pilasters enumerated separately stating size. Chamfers, mouldings and similar labours given in description."
M,M13,Joinery,Pipe Casings,Casings (measured on external face) around pipes each given separately in linear metres stating girth and number of sides.
M,M14,Joinery,Access Trap Doors (Linings/Casings),Access trap doors in linings and casings enumerated as extra over the work in which they occur stating the size. Bearers given in description.
M,M15,Joinery,Doors,"(a) Doors given in sq.m irrespective of type (single, folding, swinging, sliding) stating thickness and number (each leaf counted as one). Fitting and hanging deemed included. Alternatively enumerated stating size. Classifications: i. Flush doors – state construction of core, thickness, facing type/thickness and fixing method. Solid lipping and mouldings in description. Openings for glass enumerated stating size; divided openings described with panel sizes. Glazing beads in description or linear metres. ii. Boarded doors – state thickness of boards, ledges, braces, framing and method of jointing. iii. Panelled doors – state frame thickness, panel thickness/number, moulding method (solid/planted, one/both sides). Open panels for glass described. Divided openings described stating panel sizes. Beads in description or linear metres. Doors with top rails/muntins >100 mm, or intermediate/bottom rails >300 mm described. (b) Doors ≤1 sq.m in area or ≤1 m high described. (c) Irregular shape doors (measured square) described. (d) Doors with curved heads described stating curve type (semicircular, segmental, elliptical)."
M,M16,Joinery,Casements,"(a) Casements given in sq.m stating thickness and number, or enumerated by size. Fitting and hanging deemed included. Divided panes described stating size and arrangement. Beads in description or linear metres. (b) Bullseye casements enumerated stating thickness and diameter. (c) Irregular shape casements (measured square) described. (d) Curved head casements (measured square) described stating curve type."
M,M17,Joinery,Double-Hung Sash Windows,"(a) Measured over frames and sills. (b) Complete with sashes, frames and sills enumerated or given in sq.m stating number, sash thickness, frame/sill part sizes. Divided panes described with pane size. Glazing beads included. Pulleys, cords, chains, weights or spring balances described. Fitting and hanging deemed included. (c) Multiple-light sash windows described. Solid/cased mullions given stating size. (d) Irregular shape windows (measured square) described. (e) Curved head windows (measured square) described stating curve type."
M,M18,Joinery,Skylights And Lanterns,"(a) Skylights and lantern-tops enumerated stating size, or given in sq.m stating thickness and number. Glazing bars and fitting/hanging given in description. Beads included. (b) Lantern-sides given as for casements. (c) Rolls to ridges and hips given in linear metres stating size."
M,M19,Joinery,Window Boards And Nosings,"Window-boards, nosings and bed moulds each given separately in linear metres stating size and number. Tongued, rounded and moulded edges, bearers in description."
M,M20,Joinery,"Frames, Sills And Kerbs","(a) Frames, mullions, transoms, sills and kerbs measured length as fixed. Joints (framed, halved, dovetailed, scarfed) deemed included with additional timber. (b) Members >6 m long described with lengths in 1 m stages. (c) Door/window/lantern frames, mullions, transoms, sills and kerbs given separately in linear metres stating size. Frames to bullseye windows enumerated stating size/diameter. (d) Heading joints in curved frames and transoms described, but joints at apex of shaped heads enumerated. Keys, wedges and hand-rail screws given in description."
M,M21,Joinery,Fillets,(a) Weather fillets given in linear metres stating size. Tongued fillets described. (b) Stop-fillets around doors/casements given in linear metres stating size. Cut and mitred stop-fillets around centre-hung casements described.
M,M22,Joinery,Glazing Beads And Fillets,"Glazing-beads and similar items, except where otherwise included, given in linear metres stating size."
M,M23,Joinery,Grounds And Wall Battens,"Grounds (or battens) given in linear metres stating size, or in description of the work concerned."
M,M24,Joinery,"Skirtings, Architraves, Rails And Cornices","(a) Skirtings, architraves, picture/dado rails, wall mouldings, cornices, cappings, pelmets, cover-fillets etc. each given separately in linear metres stating size. (b) Built-up members described with component sizes. Bracketing given in description. (c) Plinth-blocks to architraves enumerated stating size."
M,M25,Joinery,"Shelves, Table-Tops And Seats","(a) Shelves, divisions, table/work-tops, counters, seats etc. >300 mm wide given in sq.m stating thickness. ≤300 mm wide given in linear metres stating width and thickness. (b) Slatted shelves/seats given separately in sq.m stating size and spacing of slats/battens. (c) Bearers and legs given in linear metres stating size. Framed work described."
M,M26,Joinery,Cuttings And Housings On Shelves Etc.,"(a) Raking cutting, curved cutting and scribed edges given separately in linear metres. (b) Rounded corners enumerated separately stating girth. (c) Housings, tongued/grooved joints, ship-lap joints etc. given separately in linear metres."
M,M27,Joinery,Draining-Boards And Back-Boards,"(a) Draining-boards given in sq.m stating thickness and number. Fluted boards so described. Edge labours in linear metres. Openings enumerated. Alternatively, draining-boards may be enumerated stating thickness, size, and labours in description. (b) Back-boards enumerated stating size. Edge labours given in description."
M,M28,Joinery,Fittings And Fixtures,"(a) Fittings/fixtures (cupboards, tables, benches, counters, dressers, bookcases etc.) given in detail or enumerated stating overall size. Similar fittings grouped. (b) Drawers enumerated stating dimensions, part thicknesses and jointing method."
M,M29,Joinery,Applied Coverings,"(a) Applied coverings (e.g., plastics) given in sq.m stating securing method, or in description stating whether on one/both sides. Splayed/chamfered edges deemed included. (b) Applied coverings on edges given in linear metres stating width. (c) All applied coverings fully described."
M,M30,Joinery,Staircases Generally,Work in staircases shall be given under an appropriate heading.
M,M31,Joinery,Landings,(a) Landings shall be given in sq.m stating thickness and jointing method. Bearers given in description. (b) Raking cutting and curved cutting each given separately in linear metres.
M,M32,Joinery,Treads And Risers,"(a) Treads and risers (grouped) given in sq.m stating thickness and jointing/blocking method. Winders (measured net) described. Carriages given in description with size. (b) Raking/curved cutting on treads (not winders) given separately in linear metres. (c) Ends housed to strings deemed included. (d) Returned, rounded, quadrant and curtail ends each enumerated separately."
M,M33,Joinery,"Strings, Apron-Linings And Mouldings","Strings, apron-linings, cappings and applied mouldings each given separately in linear metres stating size. Ramped and wreathed members so described. Ends, mitres, returned and housed ends deemed included. Short ramps/wreaths enumerated as extra. Quadrant-pieces enumerated separately stating size."
M,M34,Joinery,Handrails,"(a) Handrails given in linear metres stating size. Curved, ramped and wreathed handrails so described. Quadrants, ramps and wreaths ≤0.50 m girth enumerated separately as extra. (b) Framed, housed, dowelled, rounded, moulded, scrolled ends, mitres, irregular angles etc. enumerated separately. Ends on rake described. Scrolled end size stated. Heading joints deemed included. Handrail screws in description."
M,M35,Joinery,Balusters And Newels,"(a) Balusters enumerated stating size and length. Framed and housed ends given in description (if on rake). (b) Newels and storey-posts enumerated; if turned, length of turned portion stated. Sunk panels and mouldings enumerated. (c) Newel-caps and pendants enumerated separately stating size, shape and fixing method."
M,M36,Joinery,Standard Units,"Stock-pattern units and standard units (e.g. doors, casements, sash windows, cupboards) enumerated stating reference. Ironmongery supplied with standard units given in description."
M,M37,Joinery,Plugging,"Plugging to concrete, brickwork, blockwork and stonework (grouped, irrespective of finish) given in sq.m, linear metres, or enumerated. Alternatively, plugging given in description of related work."
M,M38,Joinery,Holes In Timber,"(a) Holes and countersunk holes for bolts enumerated separately stating bolt size and timber thickness. Pellating given in description. (b) Holes for pipes, tubes, bars, cables, conduits etc. enumerated stating size and timber thickness. Pipe-sleeve fixing given in description. (c) Holes for ducting, trunking, trays etc. enumerated stating size and timber thickness."
M,M39,Joinery,Ironmongery,"(a) Particulars: i. Kind/quality of ironmongery; ii. Surface finish; iii. Background type (timber/metal); iv. Fixing method. (b) Preparing timbers for ironmongery (sinking, boring, grooving, morticing) deemed included. (c) Stock-pattern or standard ironmongery enumerated stating reference. Fixing screws to match deemed included. (d) Fanlight openers/lantern-gearing described stating character and securing. (e) Sliding-door gear itemised with securing method."
M,M40,Joinery,Waterbars,Waterbars in sills and similar given in linear metres stating size. Those bedded in white lead or mortar described.
M,M41,Joinery,Dowels And Cramps,Dowels and cramps each enumerated separately stating size. Mortices in timber given in description.
M,M42,Joinery,Bolts,Bolts enumerated stating diameter and length. Nuts and washers given in description.
N,N1,Structural Steelwork,Structural Steelwork Generally,"(a) Steelwork shall be grouped as follows and each group with its associated labours shall be given under an appropriate heading: i. Unframed steelwork (steel mainly or completely unframed); ii. Framed steelwork (structures mainly or completely framed). (b) Particulars: i. Kind and quality of steel; ii. Any tests of materials, workmanship and finished structure. (c) For framed steelwork, particulars also of fabrication method and site connections (riveted, bolted, welded). Framing plans and drawings provided with the bill or detailed description including plan area, number of storeys and height. (d) Work involving extra handling/fixing between existing work shall be described with location. (e) Steelwork measured as executed; no deductions for splay cuts, notches, holes, slots; no allowances for rolling margin/weld-metal weight. Plates of irregular shape measured net. All cuttings, welds, notchings deemed included. (f) Weight of compound/composite members aggregated including component parts, bolts, rivet-heads. (g) Steel sections classified as: i. Angles & tees; ii. Joists & channels; iii. Broad-flange & universal joists; iv. Castellated joists. (h) Weight groups stated as: i. ≤5 kg/m; ii. >5 ≤10 kg/m; iii. >10 ≤20 kg/m; iv. >20 ≤50 kg/m; v. >50 ≤100 kg/m; vi. >100 ≤150 kg/m; vii. >150 kg/m. (j) Sections ≤1.5 m described separately. (k) Curved sections described stating length, radius/radii, curved in width/depth. (l) Curved compound/composite members described stating radius/radii, curved in width/depth. (m) Cranked members described stating number of cranks."
N,N2,Structural Steelwork,Grillages,"(a) Grillages given in kilogrammes. (b) Plain grillages (joists or channels) described and components classified per N1(g), weight-group per N1(h). (c) Compound grillages described and classified per rules for compound girders in N3(c)."
N,N3,Structural Steelwork,Girders,"(a) Girders given in kilogrammes. (b) Plain girders (joists/channels) described and classified per N1(g), weight-group per N1(h). (c) Compound girders classified as: i. Compound single (one joist/channel + flange plates); ii. Compound multiple (≥2 joists/channels + flange plates). (d) Plate girders classified as: i. Plain plate (one web-plate with angle flanges); ii. Compound plate (one web plate + angle flanges + flange plates); iii. Box plate (two web-plates + angle flanges + ≥2 flange plates). (e) Shelf-angles and stiffener-angles on girders given in kg stating weight-group per N1(h). Fitted angles described. (f) Latticed girders described stating length, composition and depth. (g) Runway rails for cranes given in description of girder, stating cross-section and fixing method. Weight aggregated with girder."
N,N4,Structural Steelwork,Stanchions,"(a) Stanchions given in kilogrammes. (b) Plain stanchions (joists/channels) described and classified per N1(g), weight-group per N1(h), number of stanchions. (c) Compound stanchions classified as: i. Compound single (one joist/channel + flange plates); ii. Compound multiple (≥2 joists/channels + flange plates). (d) Latticed stanchions and battened stanchions described stating number and composition (if not shown on drawings). (e) Bloom bases to stanchions given in kg stating number, attachment method and machining extent."
N,N5,Structural Steelwork,Solid Or Tubular Columns,"(a) Solid steel columns given in kg stating diameter and number. (b) Tubular steel columns given in linear metres stating thickness, outside diameter and number."
N,N6,Structural Steelwork,Portal Frames,Portal frames given in kilogrammes stating composition and span.
N,N7,Structural Steelwork,Roof Trusses,"(a) Roof-trusses shall be given in kilogrammes stating the span in stages of 3 metres, the rise and the composition (except where shown on drawings). (b) Gable-trusses, hip-trusses, half-trusses and valley-trusses shall each be so described."
N,N8,Structural Steelwork,"Gables, Hips And Valleys","Gable-members, hip-members, valley-members and the like (grouped) shall be given in kilogrammes and classified per N1(g), weight group per N1(h)."
N,N9,Structural Steelwork,Purlins And Rails,"(a) Purlins and rails given in kilogrammes or alternatively in linear metres stating weight. (b) Plain purlins and plain rails (grouped) described and classified per N1(g), weight group per N1(h). (c) Compound purlins, compound rails, battened purlins and battened rails (grouped) shall be so described."
N,N10,Structural Steelwork,Braces And Struts,"Braces, struts and similar members (grouped) shall be given in kilogrammes and classified per N1(g) stating weight-group per N1(h)."
N,N11,Structural Steelwork,Fittings,"(a) Fittings to unframed steelwork (e.g. caps, bases, splice-plates, cleats, brackets, stiffeners, distance-pieces, separators) shall each be enumerated separately stating size and method of fixing. Notchings, bolts, rivets and welds given in description of fittings. (b) Fittings to framed steelwork deemed included with items, weight of fittings plus associated bolts and rivet-heads aggregated with weight of member attached."
N,N12,Structural Steelwork,Holes,"Holes, countersunk holes and tapped holes required for other trades enumerated separately stating size and metal thickness. Holes made on site so described. All other holes deemed included with both unframed and framed steelwork items."
N,N13,Structural Steelwork,Site Rivets,(a) Driving rivets on site deemed included with items. Weight of rivet heads aggregated with work weight. (b) Countersinking rivet heads on site enumerated.
N,N14,Structural Steelwork,Wedging Bases And Grillages,Wedging under stanchion-bases and under steel grillages each enumerated separately irrespective of wedge number.
N,N15,Structural Steelwork,Turned Bolts,Turned-bolts enumerated stating diameter and length. Nuts and washers given in description.
N,N16,Structural Steelwork,Anchor Bolts,Anchor-bolts given in kilogrammes stating diameter. Nuts and washers given in description.
N,N17,Structural Steelwork,Gutters,"(a) Gutters in conjunction with structural steelwork given in kilogrammes or linear metres stating cross-section shape, thickness and method of jointing/securing. (b) Gutter fittings (bends, junctions, angles, stopped ends, outlets) enumerated separately as extra over gutters in which they occur."
N,N18,Structural Steelwork,Painting,"Painting by fabricators/erectors given in sq.m of surface to be painted stating surface preparation, number of coats, and whether executed at steelworks or site (before/after erection). Parts to be treated briefly described."
P,P1,Metal Work,Metal Work Generally,"(a) Particulars: i. Kind and quality of metal; ii. Gauge, thickness or substance of metal and wire; iii. Method of fixing with background/support stated. (b) Casting patterns deemed included. (c) Work deemed purpose-made unless otherwise described. (d) Welded work described as: i. Welded and left as laid; ii. Fillet-welded and left as laid; iii. Prepared, welded and ground smooth. (e) Work primed/painted before delivery so described. (f) Work galvanized, plated, enamelled, anodized or otherwise treated described with timing. (g) Curved work described with radius. (h) Work measured as executed; no deductions for notches, holes, slots; no allowance for rolling margin/weld metal."
P,P2,Metal Work,"Plates, Bars, Sections And Tubes Generally","Plates, bars, sections and tubes deemed formed by casting, rolling, drawing, extruding or other method at contractor’s option unless specific method stated."
P,P3,Metal Work,Floor-Plates And Duct Covers,"(a) Floor-plates given in sq.m stating average size. Chequer and perforated plates described. (b) Duct covers given in linear metres stating width. Chequer and perforated plates described. (c) Frames for duct covers given in linear metres stating size and cross-section shape. Lugs described with spacing. Ends, angles, intersections enumerated separately. (d) Raking and curved cutting on plates given separately in linear metres."
P,P4,Metal Work,Burglar Bars And Grilles,"(a) Burglar bars given in linear metres stating size. Fanged ends, twists, bends enumerated separately. (b) Ornamental grilles enumerated stating size, pattern and fixing method. (c) Burglar proofing of flat bars in/attached to windows enumerated in panes stating bar size, or described with unit attached."
P,P5,Metal Work,Handrails And Core Rails,"(a) Handrails/core rails given separately in linear metres stating size and cross-section. Fanged, rounded, scrolled ends, mitres, bends, ramps, wreaths enumerated separately. (b) Handrail brackets enumerated stating size and girth."
P,P6,Metal Work,"Arch-Bars, Bearers And Stays","Arch-bars, bearers, stays etc. given separately in linear metres stating size. Fanged ends, twists, bends enumerated separately."
P,P7,Metal Work,"Straps, Collars And Brackets","Straps, collars, hangers, cantilever-brackets, corbels etc. each enumerated separately stating size."
P,P8,Metal Work,Mat-Frames,Mat-frames enumerated stating size of members and overall frame size. Lugs described with number.
P,P9,Metal Work,Coverings And Linings (Sheet Metal),"(a) Coverings to doors, bench/counter tops given separately in sq.m; bending at edges included. (b) Linings to safes, cisterns, sinks given separately in sq.m; bending at edges included. (c) Raking/curved cutting given separately in linear metres. (d) Welted/beaded edges, brazed/welded seams etc. given separately in linear metres. (e) Dressing into hollows/curbs given separately in linear metres. Bossed/brazed ends, angles, intersections enumerated separately. (f) Clout/copper nailing and screwing at edges each given separately in linear metres. Close nailing/screwing (<50 mm spacing) so described."
P,P10,Metal Work,Wire Mesh And Expanded Metal,"(a) Mesh/expanded metal coverings >300 mm wide given in sq.m stating mesh size. ≤300 mm wide given in linear metres stating mesh size and width in 100 mm stages. (b) Fixing method (beads, staples, welding) stated. (c) Raking/curved cutting given separately in linear metres."
P,P11,Metal Work,Composite Units Generally,"Composite units (non-standard) measured per P12–P15. Each billed under heading with character, size and number. Classified as: i. Balustrades; ii. Railings; iii. Gates; iv. Grilles/gratings; v. Cloak-room fittings; vi. Cycle/storage racks; vii. Ladders; viii. Staircases, landings, gangways; ix. Framework supports; x. Tubular roof trusses; xi. Tubular purlins; xii. Tanks (non-rectangular)."
P,P12,Metal Work,Members Of Composite Units,"(a) Rolled plates >300 mm both dimensions given in sq.m. ≤300 mm in one dimension given in linear metres stating width. ≤300 mm both dimensions enumerated stating size. (b) Rolled/extruded bars, sections, tubes given separately in linear metres stating size. (c) Cast members enumerated stating size, shape and character. Standard castings described. Lugs cast on given in description with number."
P,P13,Metal Work,Labours On Composite Unit Members,"(a) Raking/curved cutting given separately in linear metres. (b) Notches, slots, rounded corners deemed included. (c) Fanged, pointed, rounded ends, bends, ramps, wreaths, twists etc. enumerated separately."
P,P14,Metal Work,Openings In Composite Units,"Openings in balustrades, railings etc. enumerated separately as extra stating overall size. Hinges and fastenings given in description stating type."
P,P15,Metal Work,Connections In Composite Units,"(a) Cleated/plated connections enumerated separately stating cleat/plate size and thicknesses of connected members. Irregular connections described. Setscrews, bolts, washers, rivets, welds etc. given in description stating size. (b) Bolted, screwed and welded connections enumerated separately stating metal thicknesses. Irregular ones described. All fixings given in description with size."
P,P16,Metal Work,Special Metal Windows And Doors,"Special metal windows and doors enumerated separately stating overall size, construction, shape (if not rectangular), finish and number of openings."
P,P17,Metal Work,Standard Units Generally,Assembling/jointing composite unit parts and providing jointing compound deemed included.
P,P18,Metal Work,Standard Metal Windows And Doors,"(a) Standard metal windows/doors (with frames, mullions, transoms, hinges, fastenings, lugs) enumerated separately stating type. Composite types described. (b) Steel accessories (sub-frames, subsills, boards, surrounds) enumerated separately stating size and type."
P,P19,Metal Work,Steel Door Frames,Steel door-frames (not integral to door unit) enumerated stating size and type.
P,P20,Metal Work,Fireproof And Strongroom Doors,"Fireproof/strongroom doors (with frames, hinges, fastenings, lugs) enumerated separately stating size and type."
P,P21,Metal Work,Roof-Lights,"Lantern-lights, skylights, laylights etc. (with frames, mullions, ridges, hips, hinges, fastenings, lugs) enumerated separately stating size and type. Composite types described."
P,P22,Metal Work,Pavement And Stallboard Lights,"Pavement/stallboard lights (with frames, lugs, glass lenses) enumerated separately stating size and type."
P,P23,Metal Work,"Skirtings, Picture-Rails And The Like","Skirtings, picture-rails etc. each given separately in linear metres stating size/type. Fitted ends, mitres deemed included. Special fittings enumerated separately."
P,P24,Metal Work,Duct Covers,"Duct-covers (with frames and lugs) given in linear metres stating width and type. Ends, angles, intersections enumerated separately."
P,P25,Metal Work,Balustrades And Railings,"Balustrades, railings etc. forming part of building each given separately in linear metres stating height and description."
P,P26,Metal Work,Collapsible Gates And Revolving Shutters,"Collapsible gates, revolving shutters etc. (with frames, guides, tracks, fastenings, lugs) enumerated separately stating size and type."
P,P27,Metal Work,Grilles And Gratings,Grilles and gratings (with frames and lugs) enumerated separately stating size and type.
P,P28,Metal Work,Surface Boxes And Mat-Rims,"Surface-boxes, inspection-covers, mat-rims etc. (with frames and lugs) enumerated separately stating size and type."
P,P29,Metal Work,Sectional Tanks,"Sectional tanks enumerated stating capacity, size and type."
P,P30,Metal Work,Holes And Slots,"(a) Holes for pipes, tubes, bars, cables, conduits etc. enumerated stating size of member (per A4) and metal thickness. (b) Other holes, countersunk holes, tapped holes, slots etc. (not included elsewhere) enumerated separately stating hole/slot size and metal thickness."
P,P31,Metal Work,Bolts,"Bolts, anchor-bolts, ragbolts etc. (not included elsewhere) enumerated separately stating diameter and length. Nuts and washers given in description."
Q,Q1,Plumbing and Drainage Installations,Plumbing And Drainage Installation Generally,"(a) Work shall be grouped under headings: i. Rainwater installation; ii. Cold and hot water installation; iii. Fire-fighting installations; iv. Foul drainage above ground; v. Sanitary installations. (b) Particulars: i. Regulations/byelaws to comply with; ii. Kind of material; iii. Quality; iv. Gauge/thickness/substance; v. Tests required. (c) Assembly/jointing of composite units and jointing materials deemed included. Employer-supplied units described with assembly work. (d) Patterns, moulds, templets deemed included. (e) Primed/painted before delivery so described. (f) Galvanised, plated, enamelled, anodised or specially finished work described with timing. (g) Fixing method (nails, bolts, screws, plugs etc.) given in description. Cutting/pinning per Q40. (h) Backgrounds grouped: i. Building-board; ii. Timber; iii. Metal/composition-faced timber; iv. Brickwork/concrete/stonework (with finishes); v. Brickwork with glazed tile finish; vi. Plain metal; vii. Glass. (i) Temporary work so described; removal/making good deemed included. (j) Adequate drawings/specifications of installations to be provided. (k) Heating, ventilation and air-conditioning in boiler-houses/plant rooms or external described."
Q,Q2,Plumbing and Drainage Installations,Gutters Generally,"Rainwater gutters (measured over all fittings, short running lengths and branches) given in linear metres stating type and size."
Q,Q3,Plumbing and Drainage Installations,Curved Gutters,Curved gutters described stating mean radius.
Q,Q4,Plumbing and Drainage Installations,Gutter Joints,"(a) Materials, bolts, nuts, washers etc. for jointing deemed included with gutter items. (b) Joints in running length given in description stating jointing method."
Q,Q5,Plumbing and Drainage Installations,Gutter Fittings,"(a) Gutter fittings (bends, angles, shoes, offsets, elbows, junctions, stopped ends, nozzles) enumerated separately as extra. Cutting/jointing to fittings deemed included. (b) Weep pipe, spreaders, gargoyles, rainwater heads given in numbers."
Q,Q6,Plumbing and Drainage Installations,Gutter Supports,"Lugs cast on to gutters, brackets and straps given in description of gutter."
Q,Q7,Plumbing and Drainage Installations,Pipes,"(a) Pipes (measured over all fittings, short running lengths and branches) given in linear metres stating type and nominal size. Jointing method stated. Classified by purpose (overflow, waste, soil, ventilation, cold/hot water, heating, steam, hydraulic, gas, compressed air, oil, flue). (b) Flexible/extensible pipes (measured fully extended) described. (c) Pipes laid/fixed in ducts, trenches, chases described. (d) Pipes embedded in screed described. (e) No distinction between vertical, horizontal or falls."
Q,Q8,Plumbing and Drainage Installations,Special Pipework,"(a) Curved pipes described with mean radius. (b) Wrapped, coated or lined pipework described stating treatment. (c) Temporarily fixed, dismantled for plating and refixed pipework described."
Q,Q9,Plumbing and Drainage Installations,Pipe Joints,"(a) Materials, heat, bolts, washers etc. for joints deemed included. (b) Joints/connectors in running length given in description with method. (c) Ornamental joints enumerated as extra. (d) Reducing joints enumerated as extra, classified: i. Soldered branch joints; ii. Welded reducing joints. (e) Branch joints enumerated as extra, classified: i. Soldered; ii. Welded (square, angle, sweep). (f) Screwed sockets, tappings, bosses, welding-necks enumerated separately stating size/pipe/flange. Perforating pipe/flange deemed included. (g) Special connections/joints enumerated separately stating pipe size/kind and method. Classified: i. Different materials; ii. Pipe-appliance/equipment; iii. Isolated joints differing from general method; iv. Expansion joints stating type and expansion accommodated. (h) Connecting flue pipes to boilers, chimneys enumerated separately stating size, kind, method and packing."
Q,Q10,Plumbing and Drainage Installations,Labours On Pipes,"Labours (made bends, made springs, made offsets) on pipes of all diameters enumerated separately as extra over the pipe."
Q,Q11,Plumbing and Drainage Installations,Pipe Fittings,"(a) Pipe fittings (bends, springs, swan-necks, offsets, junctions, flanges, reducers, elbows, tees, crosses, unions etc.) enumerated separately as extra over pipes. Cutting/fitting deemed included. (b) Pipe closers cut on site to exact length given in number as extra over pipe."
